name,lat,lng
桃源村,22.56619,113.988291
深云,22.562734,114.000345
安托山,22.554985,114.012557
农林,22.546682,114.02481
车公庙,22.541996,114.03365
上沙,22.530495,114.042117
沙尾,22.526598,114.049088
石厦,22.52906,114.060299
皇岗村,22.528766,114.066239
福民,22.529772,114.072814
皇岗口岸,22.527096,114.081006
福民,22.529772,114.072814
赤尾,22.537705,114.090351
华强南,22.543237,114.093342
华强北,22.549777,114.092509
华新,22.554929,114.093238
黄木岗,22.561766,114.09363
八卦岭,22.567229,114.100836
红岭北,22.568287,114.110793
笋岗,22.569697,114.117667
洪湖,22.572462,114.129292
田贝,22.573393,114.136069
太安,22.579697,114.143568
梧桐山南,22.563193,114.189988
沙头角地铁站,22.560659,114.227811
地铁站(壹海城店),22.560978,114.245588
盐田港西,22.568848,114.253226
深外高中,22.590081,114.25109
盐田路,22.595048,114.262083
前湾,22.528421,113.902289
梦海,22.52524,113.905347
怡海,22.521524,113.909349
荔林,22.517793,113.919798
南油西,22.514926,113.924927
南油,22.516242,113.932512
南山书城,22.524104,113.934721
深大南,22.531501,113.94211
粤海门,22.538384,113.952227
高新南,22.538486,113.958433
红树湾南,22.529139,113.977916
深湾,22.529393,113.985122
深圳湾公园,22.528017,113.999711
下沙,22.535251,114.030928
车公庙,22.541996,114.03365
香梅,22.551296,114.046121
景田,22.559418,114.05003
梅景,22.56643,114.044492
下梅林,22.571368,114.048023
梅村,22.574203,114.059035
上梅林,22.575174,114.066543
孖岭,22.573885,114.074247
银湖,22.574309,114.096286
泥岗,22.573718,114.104372
红岭北,22.568287,114.110793
园岭,22.562236,114.110895
红岭,22.555001,114.110308
红岭南,22.546031,114.111215
鹿丹村,22.541664,114.115457
人民南,22.541763,114.124486
向西村,22.546172,114.132273
文锦,22.548714,114.137445
福田口岸,22.521671,114.07583
福民,22.529772,114.072814
岗厦地铁站,22.540518,114.072207
岗厦北,22.5468,114.075212
莲花村,22.554522,114.074512
冬瓜岭,22.565792,114.074191
孖岭,22.573885,114.074247
雅宝,22.609073,114.06687
南坑,22.61661,114.067048
光雅园,22.622193,114.06744
五和,22.632054,114.067291
坂田北,22.640759,114.069957
贝尔路,22.647312,114.072963
华为,22.65625,114.073896
岗头,22.662603,114.078351
雪象,22.66208,114.086485
甘坑,22.653966,114.112476
凉帽山,22.652839,114.1253
上李朗,22.660266,114.133527
木古,22.676708,114.128907
华南城,22.682557,114.128699
禾花,22.692145,114.12755
平湖,22.699925,114.132448
双拥街,22.704901,114.139355
福田,22.545641,114.060784
车公庙,22.541996,114.03365
红树湾南,22.529139,113.977916
后海,22.523707,113.947799
南山,22.52975,113.93043
前海湾,22.542733,113.904232
宝安,22.56102,113.886846
碧海湾,22.581116,113.862751
