name,lat,lng
阳台山东,22.674118,113.997912
官田,22.688931,113.95614
上屋,22.694669,113.945418
长圳,22.732143,113.937313
凤凰城,22.753067,113.939407
光明大街,22.767769,113.949441
光明,22.777384,113.951588
科学公园,22.783155,113.940787
楼村,22.781794,113.929808
红花山,22.783621,113.914446
公明广场,22.783783,113.897782
合水口,22.787876,113.887685
薯田埔,22.787238,113.874398
松岗公园,22.783877,113.85487
溪头,22.780543,113.844475
松岗,22.777998,113.836299
西丽湖,22.599603,113.97218
西丽,22.586456,113.960285
茶光,22.579749,113.960895
珠光,22.574117,113.966916
龙井,22.570046,113.981313
