,车站,lat,lng,geometry
49,莲花西,22.55248,114.056665,POINT (114.056665 22.55248)
50,福田,22.545641,114.060784,POINT (114.060784 22.545641)
51,市民中心,22.546784,114.067844,POINT (114.067844 22.546784)
52,岗厦北,22.5468,114.075212,POINT (114.075212 22.5468)
53,华强北,22.549777,114.092509,POINT (114.092509 22.549777)
54,燕南,22.550472,114.098596,POINT (114.098596 22.550472)
55,大剧院,22.547971,114.114678,POINT (114.114678 22.547971)
56,湖贝,22.550606,114.13172,POINT (114.13172 22.550606)
57,黄贝岭,22.552284,114.142497,POINT (114.142497 22.552284)
58,新秀,22.553693,114.155465,POINT (114.155465 22.553693)
59,莲塘口岸,22.559303,114.161879,POINT (114.161879 22.559303)
60,仙湖路,22.569759,114.172875,POINT (114.172875 22.569759)
61,莲塘,22.5698,114.181004,POINT (114.181004 22.5698)
62,梧桐山南,22.513825,114.062486,POINT (114.062486 22.513825)
63,沙头角,22.522049,114.057673,POINT (114.057673 22.522049)
64,海山,22.52906,114.060299,POINT (114.060299 22.52906)
65,盐田港西,22.540108,114.060562,POINT (114.060562 22.540108)
66,深外高中,22.545641,114.060784,POINT (114.060784 22.545641)
67,盐田路,22.55368,114.067013,POINT (114.067013 22.55368)
68,福保,22.554522,114.074512,POINT (114.074512 22.554522)
69,益田,22.554929,114.093238,POINT (114.093238 22.554929)
70,石厦,22.554809,114.102685,POINT (114.102685 22.554809)
71,购物公园,22.555001,114.110308,POINT (114.110308 22.555001)
72,福田,22.55087,114.122738,POINT (114.122738 22.55087)
73,少年宫,22.555685,114.129194,POINT (114.129194 22.555685)
74,莲花村,22.562698,114.136556,POINT (114.136556 22.562698)
75,华新,22.573393,114.136069,POINT (114.136069 22.573393)
76,通新岭,22.580283,114.131382,POINT (114.131382 22.580283)
77,红岭,22.590896,114.122825,POINT (114.122825 22.590896)
78,老街,22.608013,114.128027,POINT (114.128027 22.608013)
79,晒布,22.613348,114.136866,POINT (114.136866 22.613348)
80,翠竹,22.620295,114.144786,POINT (114.144786 22.620295)
81,田贝,22.625729,114.154568,POINT (114.154568 22.625729)
82,水贝,22.639974,114.1873,POINT (114.1873 22.639974)
83,草埔,22.644976,114.199302,POINT (114.199302 22.644976)
84,布吉,22.65441,114.215408,POINT (114.215408 22.65441)
85,木棉湾,22.665032,114.224489,POINT (114.224489 22.665032)
86,大芬,22.67936,114.23075,POINT (114.23075 22.67936)
87,丹竹头,22.692046,114.234616,POINT (114.234616 22.692046)
88,六约,22.703997,114.240852,POINT (114.240852 22.703997)
89,塘坑,22.716031,114.250865,POINT (114.250865 22.716031)
90,横岗,22.723214,114.26094,POINT (114.26094 22.723214)
91,永湖,22.728121,114.272271,POINT (114.272271 22.728121)
92,荷坳,22.734723,114.284105,POINT (114.284105 22.734723)
93,大运,22.73055,114.095683,POINT (114.095683 22.73055)
94,爱联,22.727468,114.082981,POINT (114.082981 22.727468)
95,吉祥,22.726785,114.071452,POINT (114.071452 22.726785)
96,龙城广场,22.72097,114.061443,POINT (114.061443 22.72097)
97,南联,22.716443,114.051321,POINT (114.051321 22.716443)
98,双龙,22.703112,114.047637,POINT (114.047637 22.703112)
99,牛湖,22.692586,114.046811,POINT (114.046811 22.692586)
100,观澜湖,22.67801,114.04696,POINT (114.04696 22.67801)
101,松元厦,22.669994,114.0431,POINT (114.0431 22.669994)
102,观澜,22.657782,114.02894,POINT (114.02894 22.657782)
103,长湖,22.651062,114.018852,POINT (114.018852 22.651062)
104,茜坑,22.643199,114.019211,POINT (114.019211 22.643199)
105,竹村,22.627971,114.029976,POINT (114.029976 22.627971)
106,清湖北,22.616667,114.037138,POINT (114.037138 22.616667)
107,清湖,22.607264,114.049182,POINT (114.049182 22.607264)
108,龙华,22.600182,114.055133,POINT (114.055133 22.600182)
109,龙胜,22.575174,114.066543,POINT (114.066543 22.575174)
110,上塘,22.566216,114.065949,POINT (114.065949 22.566216)
111,红山,22.55368,114.067013,POINT (114.067013 22.55368)
112,深圳北,22.546784,114.067844,POINT (114.067844 22.546784)
113,白石龙,22.540331,114.067692,POINT (114.067692 22.540331)
114,民乐,22.529772,114.072814,POINT (114.072814 22.529772)
115,上梅林,22.521671,114.07583,POINT (114.07583 22.521671)
116,莲花北,22.552284,114.142497,POINT (114.142497 22.552284)
117,少年宫,22.562029,114.146592,POINT (114.146592 22.562029)
118,市民中心,22.579697,114.143568,POINT (114.143568 22.579697)
119,会展中心,22.587239,114.144521,POINT (114.144521 22.587239)
120,福民,22.601728,114.136855,POINT (114.136855 22.601728)
121,福田口岸,22.608013,114.128027,POINT (114.128027 22.608013)
122,黄贝岭,22.614274,114.120431,POINT (114.120431 22.614274)
123,怡景,22.62123,114.117164,POINT (114.117164 22.62123)
124,太安,22.627942,114.111884,POINT (114.111884 22.627942)
125,布心,22.632634,114.086573,POINT (114.086573 22.632634)
126,百鸽笼,22.633264,114.077405,POINT (114.077405 22.633264)
127,布吉,22.632054,114.067291,POINT (114.067291 22.632054)
128,长龙,22.623459,114.047419,POINT (114.047419 22.623459)
129,下水径,22.616667,114.037138,POINT (114.037138 22.616667)
130,上水径,22.605556,114.016794,POINT (114.016794 22.605556)
131,杨美,22.596454,114.006482,POINT (114.006482 22.596454)
132,坂田,22.588416,113.972166,POINT (113.972166 22.588416)
133,五和,22.586456,113.960285,POINT (113.960285 22.586456)
134,民治,22.586132,113.950414,POINT (113.950414 22.586132)
135,深圳北,22.587478,113.925339,POINT (113.925339 22.587478)
136,长岭陂,22.580576,113.917157,POINT (113.917157 22.580576)
137,塘朗,22.5754,113.910988,POINT (113.910988 22.5754)
138,大学城,22.566009,113.899729,POINT (113.899729 22.566009)
139,西丽,22.560836,113.893654,POINT (113.893654 22.560836)
140,留仙洞,22.556037,113.891433,POINT (113.891433 22.556037)
141,兴东,22.550297,113.895487,POINT (113.895487 22.550297)
142,洪浪北,22.542733,113.904232,POINT (113.904232 22.542733)
143,灵芝,22.538175,113.904268,POINT (113.904268 22.538175)
144,翻身,22.528421,113.902289,POINT (113.902289 22.528421)
145,宝安中心,22.522213,113.895803,POINT (113.895803 22.522213)
146,宝华,22.513829,113.892659,POINT (113.892659 22.513829)
147,临海,22.50929,113.896385,POINT (113.896385 22.50929)
148,前海湾,22.503907,113.900135,POINT (113.900135 22.503907)
149,桂湾,22.485483,113.904203,POINT (113.904203 22.485483)
150,前湾,22.546109,114.102113,POINT (114.102113 22.546109)
151,前湾公园,22.554809,114.102685,POINT (114.102685 22.554809)
152,妈湾,22.560866,114.102186,POINT (114.102186 22.560866)
153,铁路公园,22.567229,114.100836,POINT (114.100836 22.567229)
154,荔湾,22.574309,114.096286,POINT (114.096286 22.574309)
155,赤湾,22.579926,114.07578,POINT (114.07578 22.579926)
156,科学馆,22.600114,114.059906,POINT (114.059906 22.600114)
157,通新岭,22.616667,114.037138,POINT (114.037138 22.616667)
158,体育中心,22.627971,114.029976,POINT (114.029976 22.627971)
159,八卦岭,22.64653,114.023107,POINT (114.023107 22.64653)
160,银湖,22.662456,114.011669,POINT (114.011669 22.662456)
161,翰岭,22.674118,113.997912,POINT (113.997912 22.674118)
162,梅林关,22.688931,113.95614,POINT (113.95614 22.688931)
163,深圳北,22.694669,113.945418,POINT (113.945418 22.694669)
164,红山,22.732143,113.937313,POINT (113.937313 22.732143)
165,上芬,22.753067,113.939407,POINT (113.939407 22.753067)
166,元芬,22.767769,113.949441,POINT (113.949441 22.767769)
167,阳台山东,22.777384,113.951588,POINT (113.951588 22.777384)
168,官田,22.783155,113.940787,POINT (113.940787 22.783155)
169,上屋,22.781794,113.929808,POINT (113.929808 22.781794)
170,长圳,22.783621,113.914446,POINT (113.914446 22.783621)
171,凤凰城,22.783783,113.897782,POINT (113.897782 22.783783)
172,光明大街,22.787876,113.887685,POINT (113.887685 22.787876)
173,光明,22.787238,113.874398,POINT (113.874398 22.787238)
174,科学公园,22.783877,113.85487,POINT (113.85487 22.783877)
175,楼村,22.780543,113.844475,POINT (113.844475 22.780543)
176,红花山,22.777998,113.836299,POINT (113.836299 22.777998)
177,公明广场,22.599603,113.97218,POINT (113.97218 22.599603)
178,合水口,22.586456,113.960285,POINT (113.960285 22.586456)
179,薯田埔,22.579749,113.960895,POINT (113.960895 22.579749)
180,松岗公园,22.574117,113.966916,POINT (113.966916 22.574117)
181,溪头,22.570046,113.981313,POINT (113.981313 22.570046)
182,松岗,22.56619,113.988291,POINT (113.988291 22.56619)
183,西丽湖,22.562734,114.000345,POINT (114.000345 22.562734)
184,西丽,22.554985,114.012557,POINT (114.012557 22.554985)
185,茶光,22.546682,114.02481,POINT (114.02481 22.546682)
186,珠光,22.541996,114.03365,POINT (114.03365 22.541996)
187,龙井,22.530495,114.042117,POINT (114.042117 22.530495)
188,桃源村,22.526598,114.049088,POINT (114.049088 22.526598)
189,深云,22.52906,114.060299,POINT (114.060299 22.52906)
190,安托山,22.528766,114.066239,POINT (114.066239 22.528766)
191,农林,22.529772,114.072814,POINT (114.072814 22.529772)
192,车公庙,22.527096,114.081006,POINT (114.081006 22.527096)
193,上沙,22.529772,114.072814,POINT (114.072814 22.529772)
194,沙尾,22.537705,114.090351,POINT (114.090351 22.537705)
195,石厦,22.543237,114.093342,POINT (114.093342 22.543237)
196,皇岗村,22.549777,114.092509,POINT (114.092509 22.549777)
197,福民,22.554929,114.093238,POINT (114.093238 22.554929)
198,皇岗口岸,22.561766,114.09363,POINT (114.09363 22.561766)
199,福邻,22.567229,114.100836,POINT (114.100836 22.567229)
200,赤尾,22.568287,114.110793,POINT (114.110793 22.568287)
201,华强南,22.569697,114.117667,POINT (114.117667 22.569697)
202,华强北,22.572462,114.129292,POINT (114.129292 22.572462)
203,华新,22.573393,114.136069,POINT (114.136069 22.573393)
204,黄木岗,22.579697,114.143568,POINT (114.143568 22.579697)
205,八卦岭,22.563193,114.189988,POINT (114.189988 22.563193)
206,红岭北,22.560659,114.227811,POINT (114.227811 22.560659)
207,笋岗,22.560978,114.245588,POINT (114.245588 22.560978)
208,洪湖,22.568848,114.253226,POINT (114.253226 22.568848)
209,田贝,22.590081,114.25109,POINT (114.25109 22.590081)
210,太安,22.595048,114.262083,POINT (114.262083 22.595048)
211,前湾,22.528421,113.902289,POINT (113.902289 22.528421)
