,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
19,京基100大厦,33.05384615384616,17.837606837606838,4.806837606837607,55.69829059829059,7.17948717948718,62.87777777777777,0.6410256410256411,3.0,18.0,0,18.0,3.0,0,35.6,55.56666666666666,1.0,11,0,0
20,万科红立方大厦,31.983703703703714,15.84888888888889,8.581111111111111,56.41370370370369,8.555555555555555,64.96925925925926,0.7333333333333333,2.0,86.88333333333333,0,15.75,4.0,0,29.183333333333334,57.46666666666666,1.0,5,0,0
21,中国经贸大厦,39.28999999999999,19.819444444444443,5.334444444444445,64.44388888888889,7.166666666666667,71.61055555555555,0.8666666666666667,2.0,20.683333333333334,0,20.683333333333334,2.0,0,38.58333333333333,66.25,1.0,20,0,0
22,深茂大厦,35.40989583333333,19.557291666666664,3.9942708333333337,58.96145833333333,7.890625,66.85208333333334,0.65625,9.0,28.066666666666666,0,28.066666666666666,9.0,0,34.38333333333333,58.59166666666667,1.0,18,0,0
23,中信大厦,34.88548387096775,19.150000000000002,4.38279569892473,58.418279569892476,7.25806451612903,65.67634408602149,0.4838709677419355,8.0,35.95,0,29.3,16.0,0,33.0,55.85,0.0,19,0,0
24,投行大厦,33.020707070707076,18.594949494949493,6.24949494949495,57.86515151515152,6.59090909090909,64.4560606060606,0.30303030303030304,4.0,26.366666666666667,0,24.5,4.0,0,29.0,56.95,0.0,17,0,0
25,中国港中旅大厦,32.607657657657654,15.273423423423424,6.972972972972973,54.85405405405406,7.297297297297296,62.15135135135135,0.40540540540540543,4.0,21.85,0,20.65,11.866666666666667,1,30.183333333333334,51.86666666666667,0.0,13,0,0
26,广银大厦,35.391228070175444,23.736842105263158,2.0350877192982453,61.163157894736834,7.236842105263155,68.39999999999999,0.47368421052631576,2.0,12.25,0,12.25,2.0,0,34.5,67.96666666666667,0.0,31,0,0
27,红松大厦,33.871428571428574,16.27380952380953,7.039880952380954,57.18511904761904,7.5,64.68511904761904,0.5714285714285714,4.0,14.5,0,14.5,4.0,0,28.133333333333333,52.59166666666667,1.0,22,0,0
28,万科富春东方大厦,35.36958333333333,12.840416666666664,5.873749999999999,54.08375000000001,7.875,61.958749999999995,0.65,3.0,19.783333333333335,0,16.15,4.0,0,34.25,50.38333333333334,1.0,10,0,0
29,太平金融大厦,33.43861788617886,18.601219512195122,6.0857723577235765,58.12560975609755,7.195121951219512,65.32073170731705,0.3170731707317073,4.0,23.25,0,20.71666666666667,7.183333333333334,1,30.183333333333334,55.18333333333334,0.0,9,0,0
30,深圳国际商会大厦,34.10462962962962,18.549537037037037,7.009259259259259,59.66342592592592,6.805555555555557,66.46898148148146,0.2777777777777778,4.0,26.46666666666667,0,22.716666666666665,11.233333333333333,1,30.59166666666667,57.1,0.0,14,0,0
31,中广核大厦,35.646428571428565,22.870238095238104,3.6184523809523808,62.13511904761906,7.142857142857144,69.2779761904762,0.21428571428571427,4.0,25.166666666666664,0,24.6,5.0,0,36.06666666666666,61.925,0.0,22,0,0
32,中电信息大厦,37.823214285714286,22.949404761904763,6.6797619047619055,67.45238095238093,7.410714285714286,74.86309523809523,0.32142857142857145,10.233333333333333,32.63333333333333,1,27.85,11.233333333333333,1,35.5,64.525,0.0,22,0,0
33,彩虹大厦,31.327519379844954,12.282170542635656,8.886821705426359,52.496511627906976,8.13953488372093,60.63604651162792,0.7674418604651163,1.0,82.03333333333333,0,14.316666666666666,3.0,0,30.566666666666666,49.0,1.0,7,0,0
