,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
14,新安街道,41.63765432098766,22.7216049382716,5.756790123456789,70.11604938271604,9.074074074074074,79.1901234567901,0.6296296296296297,17.4,40.78333333333333,1,40.78333333333333,17.4,1,41.4,67.38333333333333,1.0,34,0,0
15,新桥街道,53.461764705882345,23.48039215686274,30.544117647058822,107.48627450980393,13.823529411764703,121.30980392156862,0.6470588235294118,2.0,83.38333333333333,0,55.516666666666666,27.0,0,46.0,108.33333333333334,1.0,44,0,0
16,沙头角街道,36.014351851851856,44.79212962962963,17.910185185185192,98.71666666666667,17.361111111111107,116.07777777777775,0.5277777777777778,8.0,61.18333333333334,0,61.18333333333334,8.0,0,34.0,95.64166666666668,1.0,25,0,0
17,梅沙街道,52.55444444444446,19.27888888888889,17.52333333333333,89.35666666666663,13.333333333333334,102.68999999999998,0.8666666666666667,16.0,78.5,0,48.73333333333333,20.0,0,48.83333333333333,89.04166666666667,1.0,31,0,0
18,民治街道,25.100000000000005,23.622222222222227,10.112222222222222,58.834444444444436,7.555185185185184,66.38962962962962,0.5111111111111111,8.0,68.95,0,30.866666666666667,11.0,0,21.5,54.3,1.0,16,0,0
19,观澜街道,45.43181818181818,32.33030303030302,15.039393939393944,92.80151515151515,14.659090909090908,107.46060606060605,0.9545454545454546,11.0,52.13333333333333,0,49.85,14.0,0,51.56666666666666,97.71666666666667,1.0,39,0,0
20,龙华街道,34.87575757575758,18.343939393939397,7.290909090909091,60.51060606060605,7.443181818181818,67.95378787878786,0.8863636363636364,3.0,23.0,0,23.0,3.0,0,34.06666666666666,57.7,1.0,17,0,0
21,大浪街道,35.45757575757577,25.922727272727272,5.120833333333334,66.50113636363636,11.193181818181818,77.69431818181819,1.2045454545454546,15.15,44.96666666666667,1,44.58333333333333,18.15,1,34.608333333333334,67.0,1.0,17,0,0
22,观湖街道,37.10178571428571,29.65595238095238,20.01369047619048,86.77142857142856,16.696428571428573,103.46785714285713,0.75,3.0,39.41666666666667,0,39.41666666666667,3.0,0,39.03333333333333,88.29166666666666,1.0,33,0,0
23,福城街道,44.93226950354609,38.40531914893617,20.93226950354609,104.2698581560284,16.010638297872344,120.28049645390077,0.8297872340425532,8.0,106.53333333333333,0,61.1,12.0,0,44.5,104.39999999999999,1.0,14,0,0
24,海山街道,45.799166666666665,21.423750000000002,5.357916666666666,72.58083333333332,8.75,81.3308333333333,0.9,2.0,21.116666666666667,0,21.116666666666667,2.0,0,43.93333333333334,69.10833333333335,1.0,21,0,0
25,盐田街道,57.40833333333334,28.054761904761904,5.538888888888888,91.00198412698413,12.857142857142858,103.85912698412697,0.8095238095238095,8.0,36.13333333333333,0,36.13333333333333,8.0,0,55.83333333333333,87.90833333333333,1.0,19,0,0
